run_family,scenario_name,mechanism,cohort_id,sponsor_id,entry_timestamp,num_outcomes,duration_steps,duration_bucket,clock_mode,split,nav,nav_per_deposit,nav_per_risk
adversarial,fpmm_compare_adv_0047,reference_parallel_lmsr_reserve_residual,lp_late:4,lp_late,4,3,,,event_step,,22.82170243124419327038941845,0.9624477513665138782539499722,0.9624477513665138782539499722
adversarial,fpmm_compare_adv_0047,fpmm_pool_share,creator:bootstrap,creator,1,3,,,event_step,,126.7594351911476120657596330,0.9761145516430878935229393947,0.9761145516430878935229393947
adversarial,fpmm_compare_adv_0047,fpmm_pool_share,lp_late:4,lp_late,4,3,,,event_step,,22.54658911901328271113752199,0.9508455411665801603552901277,0.9508455411665801603552901277
high_skew,fpmm_compare_high_skew_0000,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,16,,,event_step,,261.9671602334678093239347821,0.8812761693991802080895737551,0.8812761693991802080895737551
high_skew,fpmm_compare_high_skew_0000,reference_parallel_lmsr_reserve_residual,lp_late:3,lp_late,3,16,,,event_step,,45.55259400744156565108352388,0.8098718629553940145475577640,0.8098718629553940145475577640
high_skew,fpmm_compare_high_skew_0000,fpmm_pool_share,creator:bootstrap,creator,1,16,,,event_step,,250.6917386175562777817394176,0.8433448486902200210314657840,0.8433448486902200210314657840
high_skew,fpmm_compare_high_skew_0000,fpmm_pool_share,lp_late:3,lp_late,3,16,,,event_step,,56.24666825837176135746896439,1.000000000000000000000000000,1.000000000000000000000000000
high_skew,fpmm_compare_high_skew_0001,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,16,,,event_step,,225.8015512126196074938036130,0.7596124869991534781368272513,0.7596124869991534781368272513
high_skew,fpmm_compare_high_skew_0001,reference_parallel_lmsr_reserve_residual,lp_late:3,lp_late,3,16,,,event_step,,39.25209442724524814894396120,0.6827408281044440473599136039,0.6827408281044440473599136039
high_skew,fpmm_compare_high_skew_0001,fpmm_pool_share,creator:bootstrap,creator,1,16,,,event_step,,204.8162984098655802304440303,0.6890166031967615560426256066,0.6890166031967615560426256066
high_skew,fpmm_compare_high_skew_0001,fpmm_pool_share,lp_late:3,lp_late,3,16,,,event_step,,57.49193956398423750089528971,1.000000000000000000000000000,1.000000000000000000000000000
high_skew,fpmm_compare_high_skew_0002,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,16,,,event_step,,142.2004261554071478680087627,0.4783723529983058193852477063,0.4783723529983058193852477063
